label,context,board,iteration,fold_prob,check_call_prob,bet_raise_prob
dry_broadway,flop_open,Ah Kd 2c,1000,0.0,0.40131495901050673,0.5986850409894933
dry_broadway,flop_check,Ah Kd 2c,1000,0.0,0.40131495901050673,0.5986850409894933
dry_broadway,response_to_bet,Ah Kd 2c,1000,0.08773394150241703,0.40372286885402425,0.5085431896435587
rainbow_connected,flop_open,Qh Jd 9c,1000,0.0,0.40109273990785077,0.5989072600921492
rainbow_connected,flop_check,Qh Jd 9c,1000,0.0,0.40109273990785077,0.5989072600921492
rainbow_connected,response_to_bet,Qh Jd 9c,1000,0.0890823862053145,0.40326357295682874,0.5076540408378568
paired_board,flop_open,Qs Jd 7c,1000,0.0,0.4012710482621122,0.5987289517378878
paired_board,flop_check,Qs Jd 7c,1000,0.0,0.4012710482621122,0.5987289517378878
paired_board,response_to_bet,Qs Jd 7c,1000,0.08942677262458273,0.4034445697661765,0.5071286576092409
dry_broadway,flop_open,Ah Kd 2c,5000,0.0,0.40131439805799624,0.5986856019420038
dry_broadway,flop_check,Ah Kd 2c,5000,0.0,0.40131439805799624,0.5986856019420038
dry_broadway,response_to_bet,Ah Kd 2c,5000,0.08773254544893737,0.40372326896721167,0.508544185583851
rainbow_connected,flop_open,Qh Jd 9c,5000,0.0,0.4010921776921874,0.5989078223078126
rainbow_connected,flop_check,Qh Jd 9c,5000,0.0,0.4010921776921874,0.5989078223078126
rainbow_connected,response_to_bet,Qh Jd 9c,5000,0.08908099781675996,0.4032639704592535,0.5076550317239865
paired_board,flop_open,Qs Jd 7c,5000,0.0,0.40127048706000157,0.5987295129399984
paired_board,flop_check,Qs Jd 7c,5000,0.0,0.40127048706000157,0.5987295129399984
paired_board,response_to_bet,Qs Jd 7c,5000,0.08942538619361376,0.40344496829743604,0.5071296455089502
